sprite,category,family,race,class,variant
rat_brown_dark,monster,rat,,,brown_dark
rat_brown_light,monster,rat,,,brown_light
rat_grey,monster,rat,,,grey
rat_white,monster,rat,,,white
rocks,monster,rocks,,,
scorpion_black,monster,scorpion,,,black
scorpion_blue,monster,scorpion,,,blue
scorpion_brown,monster,scorpion,,,brown
scorpion_green_yellow,monster,scorpion,,,green_yellow
scorpion_grey,monster,scorpion,,,grey
scorpion_pink,monster,scorpion,,,pink
serpent,monster,serpent,,,
skeleton,monster,skeleton,,,
skeleton2,monster,skeleton,,,
skeleton3,monster,skeleton,,,
skeleton4,monster,skeleton,,,
skeleton5,monster,skeleton,,,
skeleton6,monster,skeleton,,,
skeleton7,monster,skeleton,,,
skeleton_demon,monster,skeleton,,,
skeleton_demon_fighter,monster,skeleton,,fighter,
skeleton_fighter,monster,skeleton,,fighter,
skeleton_fighter10,monster,skeleton,,fighter,
skeleton_fighter11,monster,skeleton,,fighter,
skeleton_fighter12,monster,skeleton,,fighter,
skeleton_fighter13,monster,skeleton,,fighter,
skeleton_fighter2,monster,skeleton,,fighter,
skeleton_fighter3,monster,skeleton,,fighter,
skeleton_fighter4,monster,skeleton,,fighter,
skeleton_fighter5,monster,skeleton,,fighter,
skeleton_fighter6,monster,skeleton,,fighter,
skeleton_fighter7,monster,skeleton,,fighter,
skeleton_fighter8,monster,skeleton,,fighter,
skeleton_fighter9,monster,skeleton,,fighter,
skeleton_fighter_lord1,monster,skeleton,,fighter,
skeleton_fighter_lord2,monster,skeleton,,fighter,
skeleton_fighter_lord3,monster,skeleton,,fighter,
skeleton_fighter_lord4,monster,skeleton,,fighter,
skeleton_fighter_lord5,monster,skeleton,,fighter,
skeleton_king,monster,skeleton,,,
skeleton_mage,monster,skeleton,,mage,
skeleton_mage1,monster,skeleton,,mage,
skeleton_mage2,monster,skeleton,,mage,
skeleton_mage3,monster,skeleton,,mage,
skeleton_mage_lord1,monster,skeleton,,mage,
smithy01,monster,smithy,,,
snake_blue,monster,snake,,,blue
snake_brown,monster,snake,,,brown
snake_cobra_brown,monster,snake,,,brown
snake_cobra_dark_green,monster,snake,,,dark_green
snake_cobra_green,monster,snake,,,green
snake_cobra_green2,monster,snake,,,green
snake_cobra_grey,monster,snake,,,grey
snake_cobra_grey2,monster,snake,,,grey
snake_cobra_red,monster,snake,,,red
snake_green,monster,snake,,,green
snake_grey,monster,snake,,,grey
snake_orange,monster,snake,,,orange
snake_pink,monster,snake,,,pink
snake_red2_headed,monster,snake,,,red
snake_silver,monster,snake,,,silver
snake_silver2,monster,snake,,,silver
snake_white,monster,snake,,,white
snake_white2,monster,snake,,,white
snake_yellow,monster,snake,,,yellow
snake_yellow2,monster,snake,,,yellow
spectre_black,monster,spectre,,,black
spectre_blue,monster,spectre,,,blue
spectre_green,monster,spectre,,,green
spectre_orange,monster,spectre,,,orange
spectre_purple,monster,spectre,,,purple
spectre_red,monster,spectre,,,red
spectre_silver,monster,spectre,,,silver
spider_black,monster,spider,,,black
spider_blue,monster,spider,,,blue
spider_giant_grey,monster,spider,,,grey
spider_giant_red,monster,spider,,,red
spider_gold,monster,spider,,,gold
spider_green,monster,spider,,,green
spider_purple,monster,spider,,,purple
spider_red,monster,spider,,,red
spider_red2,monster,spider,,,red
spirit_air,monster,spirit,,,
spirit_brown,monster,spirit,,,brown
spirit_brown_light,monster,spirit,,,brown_light
spirit_earth,monster,spirit,,,
spirit_fire,monster,spirit,,,
spirit_green,monster,spirit,,,green
spirit_grey_dark,monster,spirit,,,grey_dark
spirit_grey_light,monster,spirit,,,grey_light
spirit_orange,monster,spirit,,,orange
spirit_pink,monster,spirit,,,pink
spirit_purple,monster,spirit,,,purple
spirit_red,monster,spirit,,,red
spirit_water,monster,spirit,,,
spirit_water2,monster,spirit,,,
spirit_white,monster,spirit,,,white
spirit_yello_brown,monster,spirit,,,yello_brown
sprite_fire,monster,sprite,,,
sprite_water,monster,sprite,,,
trickster_black,monster,trickster,,,black
trickster_blue,monster,trickster,,,blue
trickster_brown,monster,trickster,,,brown
trickster_green,monster,trickster,,,green
trickster_mage,monster,trickster,,mage,
trickster_purple_mage,monster,trickster,,mage,purple
trickster_purple_mage2,monster,trickster,,mage,purple
trickster_red,monster,trickster,,,red
troll_dark,monster,troll,troll,,dark
troll_fighter,monster,troll,troll,fighter,
troll_fighter2,monster,troll,troll,fighter,
troll_fighter3,monster,troll,troll,fighter,
troll_fighter4,monster,troll,troll,fighter,
troll_fire,monster,troll,troll,,
troll_grey,monster,troll,troll,,grey
troll_king,monster,troll,troll,,
troll_mage,monster,troll,troll,mage,
troll_mage2,monster,troll,troll,mage,
troll_priest,monster,troll,troll,priest,
troll_priest2,monster,troll,troll,priest,
troll_primitive,monster,troll,troll,,
troll_primitive2,monster,troll,troll,,
troll_primitive3,monster,troll,troll,,
troll_primitive4,monster,troll,troll,,
troll_primitive_fighter,monster,troll,troll,fighter,
troll_water,monster,troll,troll,,
troll_wraith,monster,troll,troll,,
troll_zombie,monster,troll,troll,,
turtle_blue,monster,turtle,,,blue
turtle_brown,monster,turtle,,,brown
turtle_green,monster,turtle,,,green
turtle_grey,monster,turtle,,,grey
turtle_pink,monster,turtle,,,pink
turtle_yellow,monster,turtle,,,yellow
unique1,monster,unique,,,
unique10,monster,unique,,,
unique11,monster,unique,,,
unique12,monster,unique,,,
unique13,monster,unique,,,
unique14,monster,unique,,,
unique15,monster,unique,,,
unique16,monster,unique,,,
unique17,monster,unique,,,
unique18,monster,unique,,,
unique19,monster,unique,,,
unique2,monster,unique,,,
unique20,monster,unique,,,
unique21,monster,unique,,,
unique3,monster,unique,,,
unique4,monster,unique,,,
unique5,monster,unique,,,
unique6,monster,unique,,,
unique7,monster,unique,,,
unique8,monster,unique,,,
unique9,monster,unique,,,
vampire2,monster,vampire,,,
vampire3,monster,vampire,,,
vampire4,monster,vampire,,,
vampire_blue,monster,vampire,,,blue
vampire_mage1,monster,vampire,,mage,
vortex_chaos,monster,vortex,,,
vortex_cold,monster,vortex,,,
vortex_energy,monster,vortex,,,
vortex_ethereal,monster,vortex,,,
vortex_fire,monster,vortex,,,
vortex_plasma,monster,vortex,,,
vortex_purple,monster,vortex,,,purple
vortex_shimmering,monster,vortex,,,
vortex_time,monster,vortex,,,
vortex_water,monster,vortex,,,
war_elephant_brown,monster,war,,,brown
war_elephant_green,monster,war,,,green
war_elephant_grey,monster,war,,,grey
wolf,monster,wolf,,,
worm_blue,monster,worm,,,blue
worm_green,monster,worm,,,green
worm_grey,monster,worm,,,grey
worm_mass_blue,monster,worm,,,blue
worm_mass_green,monster,worm,,,green
worm_mass_grey,monster,worm,,,grey
worm_mass_pink_grey,monster,worm,,,pink_grey
worm_mass_red_pink,monster,worm,,,red_pink
worm_mass_teal,monster,worm,,,teal
worm_mass_yellow,monster,worm,,,yellow
worm_pink,monster,worm,,,pink
worm_purple,monster,worm,,,purple
worm_red,monster,worm,,,red
worm_serpent_blue,monster,worm,,,blue
worm_serpent_green,monster,worm,,,green
worm_serpent_grey,monster,worm,,,grey
worm_serpent_pink_grey,monster,worm,,,pink_grey
worm_serpent_pink_red,monster,worm,,,pink_red
worm_serpent_rainbow,monster,worm,,,rainbow
worm_white,monster,worm,,,white
worm_yellow,monster,worm,,,yellow
wraith_blue,monster,wraith,,,blue
wraith_green,monster,wraith,,,green
wraith_grey,monster,wraith,,,grey
wraith_king,monster,wraith,,,
wraith_lord,monster,wraith,,,
wraith_orange,monster,wraith,,,orange
wraith_purple,monster,wraith,,,purple
wraith_red,monster,wraith,,,red
xorn4_armed,monster,xorn,,,
xorn4_armed_green,monster,xorn,,,green
xorn_blades,monster,xorn,,,
yeti_black,monster,yeti,,,black
yeti_blue,monster,yeti,,,blue
yeti_brown,monster,yeti,,,brown
yeti_green,monster,yeti,,,green
yeti_green_blue,monster,yeti,,,green_blue
yeti_grey_dark,monster,yeti,,,grey_dark
yeti_grey_light,monster,yeti,,,grey_light
yeti_orange,monster,yeti,,,orange
yeti_pink,monster,yeti,,,pink
yeti_pink_light,monster,yeti,,,pink_light
yeti_pink_light2,monster,yeti,,,pink_light
yeti_purple,monster,yeti,,,purple
yeti_red_dark,monster,yeti,,,red_dark
yeti_red_orange,monster,yeti,,,red_orange
yeti_white,monster,yeti,,,white
yeti_yellow_brown,monster,yeti,,,yellow_brown
zombie,monster,zombie,,,
zombie_blue,monster,zombie,,,blue
zombie_red,monster,zombie,,,red
